competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7419841,3919873,513023,3477713,1,2048,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7532708,3913501,645120,3598145,1,2048,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7884870,3907007,982016,3956611,1,2048,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121497220,117614120,694112,3185354,1,128,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121199957,117314826,696224,3186373,1,128,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,122106779,118226539,696224,3181191,1,128,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121029954,117155985,696928,3174904,1,128,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,122080009,117502075,696416,3878253,1,128,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121016097,117164955,694880,3152808,1,256,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121009820,117159923,695232,3151361,1,256,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120949548,117079028,696640,3171136,1,256,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120935875,117079384,695008,3158360,1,256,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120963266,117088620,692416,3179409,1,256,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120998593,117146704,696704,3152462,1,512,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120980213,117121431,694944,3159778,1,512,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120877150,117025169,693440,3155080,1,512,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120948957,117090738,695168,3160442,1,512,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121141755,117191350,774656,3172509,1,512,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121153132,117221785,769280,3159067,1,1024,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121032010,117111372,767296,3150793,1,1024,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121112297,117166714,768960,3174014,1,1024,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121189633,117263877,763552,3159670,1,1024,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,120951567,117003366,769600,3175968,1,1024,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121164158,117233768,769440,3158754,1,2048,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121024416,117071420,775936,3174528,1,2048,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,122368361,118405857,768320,3191733,1,2048,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121158216,117192036,767136,3195925,1,2048,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,121741120,117802541,766592,3169437,1,2048,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121633416,117147924,767040,3714424,1,128,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121060093,117112747,767168,3176633,1,128,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121066252,117119792,765376,3178399,1,128,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121609963,117182689,766688,3657622,1,128,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,122034142,118097424,764352,3169057,1,128,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121096941,117163941,770240,3160203,1,256,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121082987,117127050,771136,3181955,1,256,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121058445,117135091,768960,3151501,1,256,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,120969582,117014547,771520,3180347,1,256,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121393894,117473287,765600,3151624,1,256,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121145770,117189287,764064,3189678,1,512,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,122099498,117085744,769952,4241118,1,512,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121062680,117120640,763008,3175112,1,512,256
