competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,57155987,54795289,854304,1503782,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,57078648,54694000,851008,1490913,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,60956589,54502161,5368864,3490023,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58127113,51601395,5413376,3516333,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58407541,51846573,5412448,3551702,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58214353,51795674,5331424,3488753,1,2048,1024
GPU-Dynamic,mouse-gene,CSR,45101,45101,256,14506196,1126474706,1060800570,53598976,14466539,1,2048,1024
GPU-Dynamic,mouse-gene,CSR,45101,45101,256,14506196,1107759838,1041835424,53999072,14314839,1,2048,1024
GPU-Dynamic,mouse-gene,CSR,45101,45101,256,14506196,1107193671,1041357566,53792544,14434669,1,2048,1024
GPU-Dynamic,mouse-gene,CSR,45101,45101,256,14506196,1110055187,1044854789,53655328,13922982,1,2048,1024
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,93184150,11040746,76534656,10263529,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,101908817,10937876,85552224,10076530,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102063796,11002376,85477344,10239460,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,101721428,10999356,85308096,10067850,1,512,64
GPU-Thread-Dispatcher,EMail-Enron,CSR,36692,36692,256,367662,410815620,9558122,399944416,3685811,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,106957591,15279784,86260544,10074200,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102003377,10979026,85607648,10197680,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102031405,10966245,85648576,10071630,1,512,64
GPU-Thread-Dispatcher,EMail-Enron,CSR,36692,36692,256,367662,419063949,13090765,404853120,5783271,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,94390734,11031656,78329440,9682012,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102251225,10982146,85697664,10227709,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,101919247,11012116,85263104,10300849,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,101684348,11005766,85253216,10081951,1,512,64
GPU-Thread-Dispatcher,EMail-Enron,CSR,36692,36692,256,367662,405814535,7876521,396327488,3994970,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,104661503,17668443,81459392,10174180,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,101900856,11035835,85460512,10098990,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102001287,10976576,85473056,10207800,1,512,64
GPU-Thread-Dispatcher,EMail-Enron,CSR,36692,36692,256,367662,425255250,12656877,411487488,5769992,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,94590492,10987876,78556320,9705101,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102088166,10997266,85672416,10075451,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102059906,10960056,85531616,10223710,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102077866,10976486,85462624,10294519,1,512,64
GPU-Thread-Dispatcher,EMail-Enron,CSR,36692,36692,256,367662,400781200,7958221,391723840,3481033,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,93157030,11029315,77088000,9696192,1,512,64
GPU-Thread-Dispatcher,Boeing,CSR,36000,36000,160,7128473,102297575,10995576,85706720,10247950,1,512,64
GPU-Shared,Boeing,CSR,36000,36000,160,7128473,77890456,15203296,53242880,9434154,1,2815,256
GPU-Shared,Boeing,CSR,36000,36000,160,7128473,79452398,16327780,53053440,10061440,1,2815,256
