competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1852838154,101903337,1518684666,232250151,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1860094178,101345602,1525639366,233109210,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1872515532,101693642,1538707919,232113971,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1887558675,101113609,1553102820,233342246,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1867105050,101752003,1533129406,232223641,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,659661986,188869454,416778336,53955002,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644042935,173954693,416339392,53691242,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,643276162,172992839,416405696,53817618,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644053170,173913979,416346144,53735138,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644170686,173969812,416442080,53699000,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644213400,173831527,416591072,53733111,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644264319,174037652,416472736,53696031,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,643652404,173838568,416057856,53698703,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,643465928,173346320,416379360,53687026,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,643641228,173636396,416228544,53715363,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644015498,173558999,416711616,53686521,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644213735,173931391,416486624,53736254,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644047035,173747848,416519072,53720441,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644044894,173747633,416567648,53671428,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644784271,173853381,417170080,53702839,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644130769,173846243,416234336,53991434,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,645025845,174958977,416372512,53634194,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,643226245,173570809,415929696,53665466,1
